OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ADDRESS,ADDRID,X,Y,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,WARD,ZIPCODE,SMD,ANC,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,LONGITUDE,LATITUDE,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING
1864,ABRA-113917,Serenata & ZUMO,The Pour Group LLC,C,1280 4th ST NE,319539,400044.91,137908.75,Issued,Tavern,,,,,,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.9994822,38.90903942,99,,
1865,ABRA-113918,Tino's Pizzeria,Tino's LLC,C,3420 CONNECTICUT AVE NW,284678,394933.68,140766.2,Safekeeping,Restaurant,,,,CHECKED,,,,Ward 3,20008,SMD 3C05,ANC 3C,,,,,,-77.058434,38.93476597,28,,
1866,ABRA-113937,The Henri,"The Henri, LLC",C,1301 PENNSYLVANIA AVE NW,279023,397401.6,136503.48,405.1 New Const,Restaurant,,,,,,,,Ward 2,20004,SMD 2C01,ANC 2C,,,,,,-77.02995334,38.89637674,360,,
1867,ABRA-113946,Flagler Market,"YK Flagler, Inc.",B,2200 FLAGLER PL NW,227889,398804.2,139048.15,Active,Retail - Grocery,,,,,,,,Ward 5,20001,SMD 5E08,ANC 5E,,,,,,-77.01378914,38.91930303,,,
1868,ABRA-113948,Rice Bar,"Rice Bar H Street, Inc.",D,625 H ST NE,288803,400226.57,136899.1,Active,Restaurant,,,,,,,,Ward 6,20002,SMD 6C05,ANC 6C,,,,,,-76.99738806,38.89994444,38,,
1869,ABRA-113962,Naanwise,Apra One Corporation,C,2635 CONNECTICUT AVE NW,284445,395516.23,139642,Active,Restaurant,,,,CHECKED,,,,Ward 3,20008,SMD 3C01,ANC 3C,,,,,,-77.05170763,38.924642,100,,
1870,ABRA-113980,Licht Cafe,"Light Industries, LLC",C,1520 U ST NW,242101,396926.13,138775.01,405.1 New Const,Tavern,,CHECKED,,,CHECKED,,,Ward 2,20009,SMD 2B09,ANC 2B,,,,,,-77.03544453,38.91683794,80,,
1871,ABRA-113983,Proper 21,"WSZR Proper, LLC",C,2033 K ST NW,243320,395979.6,137244,Active,Restaurant,,CHECKED,,,,,,Ward 2,20006,SMD 2A06,ANC 2A,,,,,,-77.04634993,38.90304226,227,,
1872,ABRA-113986,The Duck & The Peach/The Wells/La Collina,Hine Restaurants LLC,Caterer,300 7TH ST SE,313090,400354.01,135322.67,Active,Caterer,,,,,,,,Ward 6,20003,SMD 6B02,ANC 6B,,,,,,-76.99591972,38.885743,,,
1873,ABRA-113994,Lupo Pizzeria,"Lahlou Restaurant Group, LLC",C,1908 14th ST NW,218559,397207.32,138666.84,405.1 New Const,Restaurant,,,,,,,,Ward 2,20009,SMD 2B09,ANC 2B,,,,,,-77.03220172,38.91586411,70,,
1874,ABRA-114006,Beautea,"First Brother, LLC",C,1073 RR WISCONSIN AVE NW,273839,394574.16,137427.11,Active,Restaurant,,,,,,,,Ward 2,20007,SMD 2E05,ANC 2E,,,,,,-77.06255424,38.90468422,70,,
